start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Music_3
RadialIntermediate,RadialIntermediate,TI_Climate_2
RadialProximal,RadialProximal,TI_Chats_5
VolarDistal,VolarDistal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Call_1
VolarProximal,VolarProximal,TI_Map_6
RadialDistal,RadialIntermediate,VolumeMinus_3
RadialDistal,RadialIntermediate,Pause_3
RadialDistal,RadialIntermediate,VolumePlus_3
RadialDistal,RadialIntermediate,Play_3
RadialDistal,RadialIntermediate,NextSong_3
RadialIntermediate,RadialDistal,CarSeatHeater_2
RadialIntermediate,RadialDistal,AC_2
RadialIntermediate,RadialDistal,SteeringHeater_2
RadialIntermediate,RadialDistal,Heater_2
RadialIntermediate,RadialDistal,Air_2
RadialProximal,RadialDistal,ContactList_5
RadialProximal,RadialDistal,SpeechToText_5
RadialProximal,RadialDistal,Send_5
RadialProximal,RadialDistal,Keyboard_5
RadialProximal,RadialDistal,Reply_5
VolarDistal,RadialDistal,Spotify_4
VolarDistal,RadialDistal,Radio_4
VolarDistal,RadialDistal,Whatsapp_4
VolarDistal,RadialDistal,Podcast_4
VolarDistal,RadialDistal,Instagram_4
VolarIntermediate,RadialDistal,CallingPerson_1
VolarIntermediate,RadialDistal,CallAccept_1
VolarIntermediate,RadialDistal,CallReject_1
VolarIntermediate,RadialDistal,MuteMic_1
VolarIntermediate,RadialDistal,CallReply_1
VolarProximal,RadialDistal,Work_6
VolarProximal,RadialDistal,Home_6
VolarProximal,RadialDistal,Search_6
VolarProximal,RadialDistal,Destination_6
VolarProximal,RadialDistal,Recenter_6
