start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Climate_2
RadialIntermediate,RadialIntermediate,TI_Apps_4
RadialProximal,RadialProximal,TI_Chats_5
VolarDistal,VolarDistal,TI_Call_1
VolarIntermediate,VolarIntermediate,TI_Music_3
VolarProximal,VolarProximal,TI_Map_6
RadialDistal,RadialIntermediate,Heater_2
RadialDistal,RadialIntermediate,SteeringHeater_2
RadialDistal,RadialIntermediate,Air_2
RadialDistal,RadialIntermediate,AC_2
RadialDistal,RadialIntermediate,CarSeatHeater_2
RadialIntermediate,RadialDistal,Podcast_4
RadialIntermediate,RadialDistal,Radio_4
RadialIntermediate,RadialDistal,Spotify_4
RadialIntermediate,RadialDistal,Instagram_4
RadialIntermediate,RadialDistal,Whatsapp_4
RadialProximal,RadialDistal,ContactList_5
RadialProximal,RadialDistal,Keyboard_5
RadialProximal,RadialDistal,Reply_5
RadialProximal,RadialDistal,Send_5
RadialProximal,RadialDistal,SpeechToText_5
VolarDistal,RadialDistal,MuteMic_1
VolarDistal,RadialDistal,CallAccept_1
VolarDistal,RadialDistal,CallingPerson_1
VolarDistal,RadialDistal,CallReply_1
VolarDistal,RadialDistal,CallReject_1
VolarIntermediate,RadialDistal,NextSong_3
VolarIntermediate,RadialDistal,VolumePlus_3
VolarIntermediate,RadialDistal,Play_3
VolarIntermediate,RadialDistal,Pause_3
VolarIntermediate,RadialDistal,VolumeMinus_3
VolarProximal,RadialDistal,Destination_6
VolarProximal,RadialDistal,Work_6
VolarProximal,RadialDistal,Recenter_6
VolarProximal,RadialDistal,Home_6
VolarProximal,RadialDistal,Search_6
