start_region,end_region,letter_association
RadialDistal,RadialDistal,TI_Chats_5
RadialIntermediate,RadialIntermediate,TI_Music_3
RadialProximal,RadialProximal,TI_Apps_4
VolarDistal,VolarDistal,TI_Map_6
VolarIntermediate,VolarIntermediate,TI_Call_1
VolarProximal,VolarProximal,TI_Climate_2
RadialDistal,RadialIntermediate,Send_5
RadialDistal,RadialIntermediate,Keyboard_5
RadialDistal,RadialIntermediate,ContactList_5
RadialDistal,RadialIntermediate,SpeechToText_5
RadialDistal,RadialIntermediate,Reply_5
RadialIntermediate,RadialDistal,Pause_3
RadialIntermediate,RadialDistal,Play_3
RadialIntermediate,RadialDistal,VolumePlus_3
RadialIntermediate,RadialDistal,VolumeMinus_3
RadialIntermediate,RadialDistal,NextSong_3
RadialProximal,RadialDistal,Radio_4
RadialProximal,RadialDistal,Spotify_4
RadialProximal,RadialDistal,Whatsapp_4
RadialProximal,RadialDistal,Instagram_4
RadialProximal,RadialDistal,Podcast_4
VolarDistal,RadialDistal,Recenter_6
VolarDistal,RadialDistal,Destination_6
VolarDistal,RadialDistal,Home_6
VolarDistal,RadialDistal,Work_6
VolarDistal,RadialDistal,Search_6
VolarIntermediate,RadialDistal,MuteMic_1
VolarIntermediate,RadialDistal,CallingPerson_1
VolarIntermediate,RadialDistal,CallReply_1
VolarIntermediate,RadialDistal,CallAccept_1
VolarIntermediate,RadialDistal,CallReject_1
VolarProximal,RadialDistal,SteeringHeater_2
VolarProximal,RadialDistal,Air_2
VolarProximal,RadialDistal,CarSeatHeater_2
VolarProximal,RadialDistal,AC_2
VolarProximal,RadialDistal,Heater_2
